ファイル名,業態,市内外,組み合わせbits,組み合わせID,組み合わせ名,採用媒体数,採用媒体一覧,媒体,Shapley準拠_接触者平均,接触率,接触者数,重み付き貢献度,広告予算配分_推奨(RAW比),広告予算配分_推奨(0%下限正規化%)
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1111,C0015,折込+ポスティング+フリーペーパー+web,4,"折込,ポスティング,フリーペーパー,web",折込,-0.078113828,0.371346705,648,-50.61776076,-26.93209196,0
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1111,C0015,折込+ポスティング+フリーペーパー+web,4,"折込,ポスティング,フリーペーパー,web",ポスティング,-0.12629364,0.242979943,424,-53.54850341,-28.49144641,0
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1111,C0015,折込+ポスティング+フリーペーパー+web,4,"折込,ポスティング,フリーペーパー,web",フリーペーパー,0.670933452,0.078510029,137,91.91788287,48.90656633,31.46664067
1m6,葬儀会社・葬祭サービス(お葬式の依頼・会員登録・相談など),名古屋市内,1111,C0015,折込+ポスティング+フリーペーパー+web,4,"折込,ポスティング,フリーペーパー,web",web,1.137467468,0.100859599,176,200.1942744,106.516972,68.53335933
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,1,C0001,折込,1,折込,折込,0.028846273,0.176860722,240,6.923105611,100,100
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,10,C0002,ポスティング,1,ポスティング,ポスティング,0.299604101,0.123802506,168,50.33348898,100,100
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,11,C0003,折込+ポスティング,2,"折込,ポスティング",折込,0.014944475,0.176860722,240,3.586674048,6.743350866,6.743350866
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,11,C0003,折込+ポスティング,2,"折込,ポスティング",ポスティング,0.295247805,0.123802506,168,49.60163128,93.25664913,93.25664913
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,100,C0004,フリーペーパー,1,フリーペーパー,フリーペーパー,0.760936371,0.070744289,96,73.0498916,100,100
1m7,弁護士・司法書士（法律の相談・手続き・書類作成など),名古屋市内,101,C0005,折込+フリーペーパー,2,"折込,フリーペーパー",折込,-0.010404198,0.176860722,240,-2.497007543,-3.541658395,0
